Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL,Image Url,Female Nudity,Male Nudity,Nudity
JP3464,False,False,True,55671,,Asian Art,1975,Print,,Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55671,,,"Metropolitan Museum of Art, New York, NY",Mountains|Human Figures|Rivers,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300008707,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q4022,https://images.metmuseum.org/CRDImages/as/original/DP122796.jpg,,True,Male
JP3465,False,False,True,55672,,Asian Art,1975,Print,,Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55672,,,"Metropolitan Museum of Art, New York, NY",Hills|Men|Beaches,http://vocab.getty.edu/page/aat/300008777|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300008816,https://www.wikidata.org/wiki/Q54050|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q40080,https://images.metmuseum.org/CRDImages/as/original/DP122797.jpg,,True,Male
JP3476,False,False,True,55683,,Asian Art,1975,Print,"東海道五十三次　御油|Goyu,  from the series The Fifty-three Stations of the Tōkaidō Road",Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55683,,,"Metropolitan Museum of Art, New York, NY",Houses|Bridges|Men|Trees,http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300386855|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q12280|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/as/original/DP122808.jpg,,True,Male
JP3485,False,False,True,55692,,Asian Art,1975,Print,"東海道五十三次　石薬師|Ishiyakushi, from the series The Fifty-three Stations of the Tōkaidō Road",Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55692,,,"Metropolitan Museum of Art, New York, NY",Men|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726,https://images.metmuseum.org/CRDImages/as/original/DP122817.jpg,,True,Male
JP3486,False,False,True,55693,,Asian Art,1975,Print,"東海道五十三次　庄野|Shōno, from the series The Fifty-three Stations of the Tōkaidō Road",Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55693,,,"Metropolitan Museum of Art, New York, NY",Men|Hills|Trees,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300008777|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q54050|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/as/original/DP122818.jpg,,True,Male
JP3492,False,False,True,55699,,Asian Art,1975,Print,"東海道五十三次　石部|Ishibe, from the series The Fifty-three Stations of the Tōkaidō Road",Japan,,,,,16476,Artist, ,Utagawa Hiroshige,"Japanese, Tokyo (Edo) 1797–1858 Tokyo (Edo)", ,"Utagawa, Hiroshige",Japanese,1797      ,1858      ,male,http://vocab.getty.edu/page/ulan/500019641,https://www.wikidata.org/wiki/Q200798,early 20th century,1900,1933,Woodblock print; ink and color on paper,7 x 9 in. (17.8 x 22.9 cm),"Gift of Cole J. Younger, 1975",,,,,Japan,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/55699,,,"Metropolitan Museum of Art, New York, NY",Houses|Trees|Human Figures,http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q5937779,https://images.metmuseum.org/CRDImages/as/original/DP122824.jpg,,True,Male
"2013.739a, b",False,False,True,78641,,Asian Art,2013,Illustrated books,,Japan,,,,,16456,Artist,After,Katsushika Hokusai 葛飾北斎,"Japanese, Tokyo (Edo) 1760–1849 Tokyo (Edo)", ,Katsushika Hokusai 葛飾北斎,Japanese,1760      ,1849      ,male,http://vocab.getty.edu/page/ulan/500060426,https://www.wikidata.org/wiki/Q5586,20th century.,1900,1999,Set of two woodblock printed books; ink and color on paper,each: 10 1/4 × 7 5/16 in. (26 × 18.5 cm),"Purchase, Mary and James G. Wallach Foundation Gift, 2013",,,,,Japan,,,,,,,Illustrated Books,,http://www.metmuseum.org/art/collection/search/78641,,,"Metropolitan Museum of Art, New York, NY",,,,https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_003_crd.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_001.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_002.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_003.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_004.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_005.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_006.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_007.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_008.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_009.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_010.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_011.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_012.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_a_013.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_001.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_002.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_003.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_004.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_005.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_006.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_007.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_008.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_009.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_010.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_011.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_012.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_013.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_014.jpg|https://images.metmuseum.org/CRDImages/as/original/LC-2013_739_a_b_b_015.jpg,,True,Male
2013.805,False,False,True,78695,,Asian Art,2013,Illustrated book,円通禅師遺墨|Surviving Paintings and Calligraphy of Sengai (Entsū Zenji iboku) 円通禅師遺墨,Japan,Meiji period (1868–1912),,,,1343,Artist,After,Sengai Gibon 仙厓義梵,"Japanese, 1750–1837", , ,Japanese,1750      ,1837      ,male,http://vocab.getty.edu/page/ulan/500121308,https://www.wikidata.org/wiki/Q1370392,1894,1894,1894,Woodblock printed book; ink on paper,Other: 9 1/16 × 5 7/8 in. (23 × 15 cm),"Purchase, Mary and James G. Wallach Foundation Gift, 2013",,,,,Japan,,,,,,,Illustrated Books,,http://www.metmuseum.org/art/collection/search/78695,,,"Metropolitan Museum of Art, New York, NY",Animals|Bamboo,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300311500,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q670887,https://images.metmuseum.org/CRDImages/as/original/2013_805_05_crd.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_01.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_02.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_03.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_04.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_05.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_06.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_07.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_08.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_09.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_10.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_11.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_12.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_13.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_14.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_15.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_16.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_17.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_18.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_19.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_20.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_21.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_22.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_23.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_24.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_25.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_26.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_27.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_28.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_29.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_30.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_31.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_32.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_33.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_34.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_35.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_36.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_37.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_38.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_39.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_40.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_41.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_42.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_43.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_44.jpg|https://images.metmuseum.org/CRDImages/as/original/2013_805_45.jpg,True,True,Female and Male
"93.10.47a, b",False,False,True,187541,,European Sculpture and Decorative Arts,1893,Medallion,"In Honor of Delaunay, the Painter",French,,,,,3426,Artist,Medalist:,Jules-Clément Chaplain,"French, Mortagne, Orne 1839–1909 Paris", ,"Chaplain, Jules-Clément",French,1839      ,1909      ,male,http://vocab.getty.edu/page/ulan/500029135,https://www.wikidata.org/wiki/Q1748575,1890,1890,1890,"Bronze, cast - double",Diameter: 3 13/16 in. (9.7 cm),"Gift of Samuel P. Avery, 1893",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/187541,,,"Metropolitan Museum of Art, New York, NY",Men|Profiles,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300123319,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q4382010,https://images.metmuseum.org/CRDImages/es/original/30859.jpg,True,,Female
"93.10.62a, b",False,False,True,187555,,European Sculpture and Decorative Arts,1893,Medal,"To commemorate the founding of the National School of Industrial Arts at Roubaix, 1890",French,,,,,3426,Artist,Medalist:,Jules-Clément Chaplain,"French, Mortagne, Orne 1839–1909 Paris", ,"Chaplain, Jules-Clément",French,1839      ,1909      ,male,http://vocab.getty.edu/page/ulan/500029135,https://www.wikidata.org/wiki/Q1748575,1890,1890,1890,"Bronze, silvered, both clichés",Diameter: 2 11/16 in. (6.8 cm),"Gift of Samuel P. Avery, 1893",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/187555,,,"Metropolitan Museum of Art, New York, NY",Houses|Male Nudes|Women,http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/es/original/30855.jpg,,True,Male
"96.7.2a, b",False,False,True,188024,,European Sculpture and Decorative Arts,1896,Plaquette,In Praise of Mariani Coca-Wine,French,,,,,16492,Artist,Medalist:,Louis-Oscar Roty,"French, Paris 1846–1911 Paris", ,"Roty, Louis-Oscar",French,1846      ,1911      ,male,http://vocab.getty.edu/page/ulan/500123469,https://www.wikidata.org/wiki/Q2621732,1895,1895,1895,"Bronze, struck, silvered",2 1/16 × 1 1/2 in. (52 × 38 mm),"Gift of Dr. Angelo Mariani, 1896",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/188024,,,"Metropolitan Museum of Art, New York, NY",Wine|Children|Mothers|Trees,http://vocab.getty.edu/page/aat/300379442|http://vocab.getty.edu/page/aat/300025945|http://vocab.getty.edu/page/aat/300025932|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q282|https://www.wikidata.org/wiki/Q7569|https://www.wikidata.org/wiki/Q7560|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/es/original/29898.jpg,True,,Female
"97.15.3a, b",False,False,True,188326,,European Sculpture and Decorative Arts,1897,Jeton,"Memorial of opening of Chamber of Commerce of St. Nazaire, 1879",French,,,,,16492,Artist,Medalist:,Louis-Oscar Roty,"French, Paris 1846–1911 Paris", ,"Roty, Louis-Oscar",French,1846      ,1911      ,male,http://vocab.getty.edu/page/ulan/500123469,https://www.wikidata.org/wiki/Q2621732,1893,1893,1893,"Bronze, struck, silvered",1 5/8 × 1 5/8 in. (41 × 41 mm),"Gift of Samuel P. Avery, 1897",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/188326,,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446,https://images.metmuseum.org/CRDImages/es/original/1865(det4).jpg|https://images.metmuseum.org/CRDImages/es/original/1865(det5).jpg,True,,Female
"97.15.5a, b",False,False,True,188328,,European Sculpture and Decorative Arts,1897,Medal,"For the Lyons Chamber of Commerce, 1892",French,,,,,16492,Artist,Medalist:,Louis-Oscar Roty,"French, Paris 1846–1911 Paris", ,"Roty, Louis-Oscar",French,1846      ,1911      ,male,http://vocab.getty.edu/page/ulan/500123469,https://www.wikidata.org/wiki/Q2621732,1892,1892,1892,"Bronze, struck, silvered",Diameter: 1 15/16 in. (49 mm),"Gift of Samuel P. Avery, 1897",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/188328,,,"Metropolitan Museum of Art, New York, NY",,,,https://images.metmuseum.org/CRDImages/es/original/1865(det7).jpg|https://images.metmuseum.org/CRDImages/es/original/1865(det8).jpg,True,,Female
"97.15.9a, b",False,False,True,188332,,European Sculpture and Decorative Arts,1897,Plaquette,"To Commemorate the Jubilee of the Maison Christofle, 1842–92",French,,,,,16492,Artist,Medalist:,Louis-Oscar Roty,"French, Paris 1846–1911 Paris", ,"Roty, Louis-Oscar",French,1846      ,1911      ,male,http://vocab.getty.edu/page/ulan/500123469,https://www.wikidata.org/wiki/Q2621732,1893,1893,1893,"Bronze, cast, silvered",2 5/16 × 3 3/4 in. (59 × 95 mm),"Gift of Samuel P. Avery, 1897",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/188332,,,"Metropolitan Museum of Art, New York, NY",Men|Women|Trees,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q10884,https://images.metmuseum.org/CRDImages/es/original/1865(det14).jpg,True,True,Female and Male
"97.15.15a, b",False,False,True,188338,,European Sculpture and Decorative Arts,1897,Plaquette,"The Chicago International Exhibition, 1893",French,,,,,16492,Artist,Medalist:,Louis-Oscar Roty,"French, Paris 1846–1911 Paris", ,"Roty, Louis-Oscar",French,1846      ,1911      ,male,http://vocab.getty.edu/page/ulan/500123469,https://www.wikidata.org/wiki/Q2621732,1893,1893,1893,"Bronze, struck, silvered",2 × 2 1/16 in. (51 × 52 mm),"Gift of Samuel P. Avery, 1897",,,,,France,,,,,,,Medals and Plaquettes,,http://www.metmuseum.org/art/collection/search/188338,,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467,https://images.metmuseum.org/CRDImages/es/original/1865(det19).jpg|https://images.metmuseum.org/CRDImages/es/original/1865(det20).jpg,True,True,Female and Male
